wins,loss
4,6
8,3
7,6
7,3
28,34
15,26
6,7
11,16
58,62
40,33
55,47
7,3
136,130
36,34
7,5
28,33
20,29
10,15
6,4
48,56
14,31
5,5
6,7
17,12
25,50
37,46
38,40
8,7
6,10
25,36
74,53
12,19
46,49
17,18
6,8
22,27
29,29
44,64
10,1
6,4
9,9
8,11
21,19
8,5
5,8
14,15
11,10
26,19
32,31
36,39
6,6
6,7
6,5
5,5
26,31
13,11
20,21
28,27
25,20
27,36
4,6
18,24
19,4
26,24
16,28
6,14
23,19
6,4
56,85
40,33
29,33
8,2
5,12
6,9
19,9
25,24
22,29
57,78
16,20
8,12
10,8
5,5
14,10
10,7
6,10
7,5
22,23
12,13
9,19
8,21
12,15
8,8
8,6
5,12
6,8
5,14
22,30
8,17
6,4
5,5
73,84
14,10
9,10
10,9
10,16
9,7
20,17
6,7
7,7
66,61
11,10
7,13
20,17
7,10
21,15
2,9
5,8
27,34
6,6
16,16
15,9
19,17
4,8
10,13
8,11
17,20
26,22
4,7
10,18
6,9
19,16
49,56
4,8
11,5
9,5
18,16
18,21
16,9
7,12
20,18
6,4
7,9
67,77
5,5
31,35
8,6
8,5
6,5
13,13
5,9
6,14
8,13
8,6
4,18
21,20
10,13
11,14
13,15
16,8
7,3
10,9
18,16
29,26
7,7
15,17
14,20
14,21
12,20
8,8
8,9
9,16
8,6
10,12
53,61
6,6
30,24
8,13
16,10
35,22
7,5
6,7
38,55
43,44
25,16
28,25
17,16
8,2
5,6
20,21
13,11
5,8
24,22
8,6
2,8
17,21
14,20
57,66
17,14
28,35
21,27
14,7
22,28
39,58
3,7
22,22
5,9
8,7
24,31
13,17
5,8
5,5
13,11
11,10
7,3
7,8
20,41
8,9
8,23
8,5
27,34
41,42
21,23
23,26
17,16
36,32
34,16
101,121
29,17
12,2
5,8
4,7
14,6
33,42
16,13
7,3
39,42
11,6
25,29
8,5
9,10
7,11
32,40
27,34
16,29
11,25
12,20
4,9
6,6
39,32
10,5
10,11
4,8
14,12
6,4
13,7
8,11
3,8
34,31
22,33
10,21
13,25
4,12
7,5
62,105
6,10
5,18
10,17
16,17
2,9
8,11
22,26
62,57
8,12
7,7
5,7
10,13
14,15
55,56
4,6
60,63
9,18
9,13
20,26
9,12
16,9
31,33
57,57
12,4
6,6
5,16
5,5
19,16
30,33
9,10
10,7
26,17
10,14
10,9
53,66
13,13
58,69
5,13
6,7
25,24
36,42
5,5
6,4
9,7
44,43
20,22
11,12
29,37
23,31
13,16
12,14
14,14
19,16
16,21
8,13
37,49
12,13
17,18
29,27
69,62
13,10
42,28
5,5
126,112
14,14
8,10
19,22
7,4
7,7
3,7
4,9
26,34
13,12
11,13
7,10
5,7
12,7
66,66
7,13
5,7
98,94
6,5
9,6
8,9
4,6
19,21
31,27
5,6
6,15
7,7
8,10
18,13
16,25
9,11
22,23
5,9
19,19
11,17
10,6
22,57
9,19
7,8
18,23
10,11
15,21
29,13
39,63
7,9
18,23
34,43
23,19
18,19
6,6
103,133
5,5
11,20
3,9
6,6
54,43
3,8
8,16
68,75
22,23
72,88
33,57
15,15
6,8
11,13
7,6
32,25
46,38
9,10
12,13
3,11
59,65
8,9
7,9
22,20
15,12
14,15
10,14
9,19
5,6
5,8
27,31
19,14
12,12
37,39
13,2
24,19
9,4
8,4
27,29
5,11
11,20
5,7
7,9
21,24
16,14
11,15
17,15
15,8
5,7
7,11
17,32
